news_headline,news_article,news_category,full_text,clean_text
400-year-old Japan temple unveils robot avatar of Buddhist Goddess,"A 400-year-old Kyoto-based temple has unveiled a robotic avatar of the Buddhist Goddess of Mercy, Kannon, in an attempt to keep the younger generation connected with Buddhism. Named 'Mindar', the robot can join its hands and move its eyes and torso while delivering 25-minute-long sermons to worshippers. The robot designers said the avatar has been made in a gender-neutral form.",world,"400-year-old Japan temple unveils robot avatar of Buddhist Goddess. A 400-year-old Kyoto-based temple has unveiled a robotic avatar of the Buddhist Goddess of Mercy, Kannon, in an attempt to keep the younger generation connected with Buddhism. Named 'Mindar', the robot can join its hands and move its eyes and torso while delivering 25-minute-long sermons to worshippers. The robot designers said the avatar has been made in a gender-neutral form.",400year old japan temple unveil robot avatar buddhist goddess 400year old kyoto base temple unveil robotic avatar buddhist goddess mercy kannon attempt keep young generation connect buddhism name mindar robot join hand move eye torso deliver 25minute long sermon worshipper robot designer say avatar make gender neutral form
16 killed in attack on construction company in Afghanistan,At least 16 people were killed after suicide bombers and gunmen attacked a construction company's office in the Afghan city of Jalalabad on Wednesday. Three gunmen opened fire after two suicide bombers blew themselves up outside the company's office. The three gunmen were killed in an exchange of fire with Afghan security forces that lasted more than five hours.,world,16 killed in attack on construction company in Afghanistan. At least 16 people were killed after suicide bombers and gunmen attacked a construction company's office in the Afghan city of Jalalabad on Wednesday. Three gunmen opened fire after two suicide bombers blew themselves up outside the company's office. The three gunmen were killed in an exchange of fire with Afghan security forces that lasted more than five hours.,16 kill attack construction company afghanistan least 16 people kill suicide bomber gunman attack construction companys office afghan city jalalabad wednesday three gunman open fire two suicide bomber blow outside companys office three gunman kill exchange fire afghan security force last five hour
Food production in North Korea lowest in over a decade: UN,"The food production in North Korea last year fell to its lowest level for over a decade, according to the UN. It attributed annual shortfalls in agricultural production in North Korea to a shortage of arable land, lack of access to modern agricultural equipment and fertilisers, and recurrent natural disasters. An estimated 11 million people in North Korea are undernourished.",world,"Food production in North Korea lowest in over a decade: UN. The food production in North Korea last year fell to its lowest level for over a decade, according to the UN. It attributed annual shortfalls in agricultural production in North Korea to a shortage of arable land, lack of access to modern agricultural equipment and fertilisers, and recurrent natural disasters. An estimated 11 million people in North Korea are undernourished.",food production north korea low decade un food production north korea last year fall low level decade accord un attribute annual shortfall agricultural production north korea shortage arable land lack access modern agricultural equipment fertiliser recurrent natural disaster estimate 11 million people north korea undernourished
Brazil's President criticised for sharing explicit video on Twitter,"Brazilian President Jair Bolsonaro has been criticised for sharing a video showing one man urinating on another at the annual street carnival. ""I don't feel comfortable showing it, but we have to expose the truth so the population are aware...This is what many street parties in the Brazilian Carnival have turned into"", Bolsonaro tweeted.",world,"Brazil's President criticised for sharing explicit video on Twitter. Brazilian President Jair Bolsonaro has been criticised for sharing a video showing one man urinating on another at the annual street carnival. ""I don't feel comfortable showing it, but we have to expose the truth so the population are aware...This is what many street parties in the Brazilian Carnival have turned into"", Bolsonaro tweeted.",brazil president criticise share explicit video twitter brazilian president jair bolsonaro criticise share video show one man urinate another annual street carnival not feel comfortable show expose truth population aware many street party brazilian carnival turn bolsonaro tweet
Venezuela expels German ambassador for meddling in internal affairs,"Nicolás Maduro-led Venezuelan government on Wednesday expelled German ambassador to the country, Daniel Kriener, accusing him of meddling in internal affairs. Kriener was among the diplomats who travelled to Venezuela's main international airport on Monday to greet opposition leader Juan Guaidó, who returned after defying a travel ban. Germany has recognised Guaidó as interim Venezuelan President.",world,"Venezuela expels German ambassador for meddling in internal affairs. Nicolás Maduro-led Venezuelan government on Wednesday expelled German ambassador to the country, Daniel Kriener, accusing him of meddling in internal affairs. Kriener was among the diplomats who travelled to Venezuela's main international airport on Monday to greet opposition leader Juan Guaidó, who returned after defying a travel ban. Germany has recognised Guaidó as interim Venezuelan President.",venezuela expel german ambassador meddle internal affair nicola maduro lead venezuelan government wednesday expel german ambassador country daniel kriener accuse meddle internal affair kriener among diplomat travel venezuela main international airport monday greet opposition leader juan guaido return defy travel ban germany recognise guaido interim venezuelan president
Chinese military activity rising in South China Sea: US,"The US has said it has observed a rise in Chinese military activity in the disputed South China Sea over the last year. ""It's a hazard to trade flows, the commercial activity, the financial information that flows on cables under"" the sea, Commander of US Indo-Pacific Command, Admiral Philip Davidson said. China claims nearly 90% of the South China Sea.",world,"Chinese military activity rising in South China Sea: US. The US has said it has observed a rise in Chinese military activity in the disputed South China Sea over the last year. ""It's a hazard to trade flows, the commercial activity, the financial information that flows on cables under"" the sea, Commander of US Indo-Pacific Command, Admiral Philip Davidson said. China claims nearly 90% of the South China Sea.",chinese military activity rise south china sea us us say observe rise chinese military activity dispute south china sea last year hazard trade flow commercial activity financial information flow cable sea commander us indo pacific command admiral philip davidson say china claim nearly 90 south china sea
There are no gays in our country: Malaysian minister,Malaysia's Tourism Minister Datuk Mohamaddin Ketapi reportedly said that there are no gays in his country. His comment came as he responded to a question whether Malaysia is safe for gay and Jewish visitors. Malaysian Prime Minister Mahathir Mohamad had last year said his country cannot accept same-sex marriage or LGBT rights. ,world,There are no gays in our country: Malaysian minister. Malaysia's Tourism Minister Datuk Mohamaddin Ketapi reportedly said that there are no gays in his country. His comment came as he responded to a question whether Malaysia is safe for gay and Jewish visitors. Malaysian Prime Minister Mahathir Mohamad had last year said his country cannot accept same-sex marriage or LGBT rights. ,no gay country malaysian minister malaysias tourism minister datuk mohamaddin ketapi reportedly say no gay country comment come respond question whether malaysia safe gay jewish visitor malaysian prime minister mahathir mohamad last year say country not accept sex marriage lgbt right
US threatens more sanctions on N Korea after Trump-Kim talks,"Days after the second summit between the two countries, the US has said that it would impose more sanctions on North Korea if it does not end its nuclear weapons programme. The US said both countries failed to arrive at an agreement due to North Korea's demands to lift all US sanctions, in return for giving up its nuclear weapons.",world,"US threatens more sanctions on N Korea after Trump-Kim talks. Days after the second summit between the two countries, the US has said that it would impose more sanctions on North Korea if it does not end its nuclear weapons programme. The US said both countries failed to arrive at an agreement due to North Korea's demands to lift all US sanctions, in return for giving up its nuclear weapons.",us threaten sanction n korea trump kim talk day second summit two country us say would impose sanction north korea not end nuclear weapon programme us say country fail arrive agreement due north korea demand lift us sanction return give nuclear weapon
Thailand court dissolves party that nominated princess for PM,"Thailand's Constitutional Court on Thursday ordered to dissolve the Thai Raksa Chart Party that nominated Princess Ubolratana Rajakanya Sirivadhana Varnavadi as its PM candidate. ""If the royal family is pulled down to politics, the royal institution will not have its status as the centre for Thai people anymore,"" the court said. Thai King Maha Vajiralongkorn had opposed his sister's candidacy.",world,"Thailand court dissolves party that nominated princess for PM. Thailand's Constitutional Court on Thursday ordered to dissolve the Thai Raksa Chart Party that nominated Princess Ubolratana Rajakanya Sirivadhana Varnavadi as its PM candidate. ""If the royal family is pulled down to politics, the royal institution will not have its status as the centre for Thai people anymore,"" the court said. Thai King Maha Vajiralongkorn had opposed his sister's candidacy.",thailand court dissolve party nominate princess pm thailands constitutional court thursday order dissolve thai raksa chart party nominate princess ubolratana rajakanya sirivadhana varnavadi pm candidate royal family pull politic royal institution not status centre thai people anymore court say thai king maha vajiralongkorn oppose sister candidacy
US to revoke visas of 77 people linked to Venezuela's Maduro,"The US will revoke the visas of 77 people associated with Venezuelan President Nicolás Maduro as it continues to put pressure on the government until 'freedom' in Venezuela is restored. Last week, the US revoked visas of 49 Venezuelans. ""Maduro is a dictator with no legitimate claim to power, and (he) must go,"" US Vice President Mike Pence said.",world,"US to revoke visas of 77 people linked to Venezuela's Maduro. The US will revoke the visas of 77 people associated with Venezuelan President Nicolás Maduro as it continues to put pressure on the government until 'freedom' in Venezuela is restored. Last week, the US revoked visas of 49 Venezuelans. ""Maduro is a dictator with no legitimate claim to power, and (he) must go,"" US Vice President Mike Pence said.",us revoke visa 77 people link venezuela maduro us revoke visa 77 people associate venezuelan president nicola maduro continue put pressure government freedom venezuela restore last week us revoke visa 49 venezuelan maduro dictator no legitimate claim power must go us vice president mike penny say
We're not slaves: Turkey after US warns over S-400 deal with Russia,"Responding to the US' warning to Turkey against moving ahead with plans to buy S-400 air defence systems from Russia, Turkish President Recep Tayyip Erdoğan said, ""We're an independent country, not slaves."" ""The deal is done, there's no point in discussing it as there's no turning back"", Erdoğan added. He further said that Turkey may buy S-500 missiles from Russia.",world,"We're not slaves: Turkey after US warns over S-400 deal with Russia. Responding to the US' warning to Turkey against moving ahead with plans to buy S-400 air defence systems from Russia, Turkish President Recep Tayyip Erdoğan said, ""We're an independent country, not slaves."" ""The deal is done, there's no point in discussing it as there's no turning back"", Erdoğan added. He further said that Turkey may buy S-500 missiles from Russia.",not slave turkey us warn s400 deal russia respond us warn turkey move ahead plan buy s400 air defence system russia turkish president recep tayyip erdogan say independent country not slave deal no point discuss no turn back erdogan add say turkey may buy s500 missile russia
